,tp,v
289,time-27,V3
290,time-27,V3
291,time-27,V3
292,time-27,V3
293,time-27,V3
294,time-27,V3
295,time-27,V3
296,time-27,V3
297,time-27,V3
298,time-27,V3
299,time-27,V3
300,time-27,V3
301,time-27,V3
302,time-27,V3
303,time-27,V3
304,time-27,V3
305,time-27,V3
306,time-27,V3
307,time-27,V3
308,time-27,V3
309,time-27,V3
310,time-27,V3
311,time-27,V3
312,time-27,V3
313,time-27,V3
314,time-27,V3
315,time-27,V3
316,time-27,V3-11*01
317,time-27,V3-11*01
318,time-27,V3-11*01
319,time-27,V3-11*01
320,time-27,V3-11*01
321,time-27,V3-11*01
322,time-27,V3-11*01
323,time-27,V3-11*01
324,time-27,V3-11*01
325,time-27,V3-11*01
326,time-27,V3-11*01
327,time-27,V3-11*01
328,time-27,V3-11*01
329,time-27,V3-11*01
330,time-27,V3-11*01
331,time-27,V3-11*05
332,time-27,V3-11*05
333,time-27,V3-11*05
334,time-27,V3-11*05
335,time-27,V3-11*05
336,time-27,V3-11*06
337,time-27,V3-11
338,time-27,V3-13*01
339,time-27,V3-15*01
340,time-27,V3-15*01
341,time-27,V3-15*01
342,time-27,V3-15*01
343,time-27,V3-15*01
344,time-27,V3-15*01
345,time-27,V3-15*01
346,time-27,V3-15*01
347,time-27,V3-15*01
348,time-27,V3-15*01
349,time-27,V3-15*01
350,time-27,V3-15*01
351,time-27,V3-15*02
352,time-27,V3-15*05
353,time-27,V3-15*07
354,time-27,V3-15*07
355,time-27,V3-15*07
356,time-27,V3-15*07
357,time-27,V3-20*01
358,time-27,V3-20*01
359,time-27,V3-21*01
360,time-27,V3-21*01
361,time-27,V3-21*01
362,time-27,V3-21*01
363,time-27,V3-21*01
364,time-27,V3-21*01
365,time-27,V3-21*01
366,time-27,V3-21*01
367,time-27,V3-21*01
368,time-27,V3-21*01
369,time-27,V3-21*01
370,time-27,V3-21*01
371,time-27,V3-21*01
372,time-27,V3-21*01
373,time-27,V3-21*01
374,time-27,V3-21*01
375,time-27,V3-21*01
376,time-27,V3-21*01
377,time-27,V3-21*01
378,time-27,V3-21*01
379,time-27,V3-21*01
380,time-27,V3-21*01
381,time-27,V3-21*01
382,time-27,V3-21*01
383,time-27,V3-21*02
384,time-27,V3-21*02
385,time-27,V3-21*02
386,time-27,V3-21*02
387,time-27,V3-21*02
388,time-27,V3-21*02
389,time-27,V3-23*01
390,time-27,V3-23*01
391,time-27,V3-23*01
392,time-27,V3-23*01
393,time-27,V3-23*01
394,time-27,V3-23*01
395,time-27,V3-23*01
396,time-27,V3-23*01
397,time-27,V3-23*01
398,time-27,V3-23*01
399,time-27,V3-23*01
400,time-27,V3-23*01
401,time-27,V3-23*01
402,time-27,V3-23*01
403,time-27,V3-23*01
404,time-27,V3-23*01
405,time-27,V3-23*01
406,time-27,V3-23*01
407,time-27,V3-23*01
408,time-27,V3-23*01
409,time-27,V3-23*01
410,time-27,V3-23*01
411,time-27,V3-23*01
412,time-27,V3-23*01
413,time-27,V3-23*01
414,time-27,V3-23*01
415,time-27,V3-23*01
416,time-27,V3-23*01
417,time-27,V3-23*01
418,time-27,V3-23*01
419,time-27,V3-23*01
420,time-27,V3-23*01
421,time-27,V3-23*01
422,time-27,V3-23*04
423,time-27,V3-23*04
424,time-27,V3-23*04
425,time-27,V3-23*04
426,time-27,V3-23*04
427,time-27,V3-23*05
428,time-27,V3-23*05
429,time-27,V3-23*05
430,time-27,V3-23*05
431,time-27,V3-23*05
432,time-27,V3-23*05
433,time-27,V3-23*05
434,time-27,V3-23*05
