,tp,v
200,time-1,V3
201,time-1,V3
202,time-1,V3
203,time-1,V3
204,time-1,V3
205,time-1,V3
206,time-1,V3
207,time-1,V3-11*04
208,time-1,V3-11*05
209,time-1,V3-15*01
210,time-1,V3-15*01
211,time-1,V3-15*01
212,time-1,V3-15*01
213,time-1,V3-15*01
214,time-1,V3-15*05
215,time-1,V3-20*01
216,time-1,V3-21*01
217,time-1,V3-21*01
218,time-1,V3-21*01
219,time-1,V3-21*01
220,time-1,V3-21*01
221,time-1,V3-23*01
222,time-1,V3-23*01
223,time-1,V3-23*01
224,time-1,V3-23*01
225,time-1,V3-23*05
226,time-1,V3-23*05
227,time-1,V3-30*03
228,time-1,V3-30*18
229,time-1,V3-30*18
230,time-1,V3-30
231,time-1,V3-30
232,time-1,V3-30-3*01
233,time-1,V3-30-3*01
234,time-1,V3-30-3*01
235,time-1,V3-30-3*01
236,time-1,V3-30-3*02
237,time-1,V3-33*01
238,time-1,V3-33*04
239,time-1,V3-48*01
240,time-1,V3-48*01
241,time-1,V3-48*01
242,time-1,V3-48*04
243,time-1,V3-49*03
244,time-1,V3-49*03
245,time-1,V3-49*03
246,time-1,V3-49*03
247,time-1,V3-49*03
248,time-1,V3-53*01
249,time-1,V3-53*01
250,time-1,V3-53*03
251,time-1,V3-64D*06
252,time-1,V3-64D*06
253,time-1,V3-64D*06
254,time-1,V3-66*01
255,time-1,V3-7*01
256,time-1,V3-7*01
257,time-1,V3-7*01
258,time-1,V3-7*02
259,time-1,V3-7*02
260,time-1,V3-72*01
261,time-1,V3-74*01
262,time-1,V3-74*01
263,time-1,V3-74*01
264,time-1,V3-74*01
265,time-1,V3-74*01
266,time-1,V3-74*01
267,time-1,V3-74*01
268,time-1,V3-74*01
269,time-1,V3-74*01
270,time-1,V3-74*01
271,time-1,V3-74*01
272,time-1,V3-74*02
273,time-1,V3-74*02
274,time-1,V3-74*02
275,time-1,V3-74*03
276,time-1,V3-74*03
277,time-1,V3-74*03
278,time-1,V3-74*03
279,time-1,V3-74*03
280,time-1,V3-74*03
281,time-1,V3-74*03
282,time-1,V3-74*03
283,time-1,V3-74*03
284,time-1,V3-9*03
285,time-1,V3-9*03
286,time-1,V3-NL1*01
287,time-1,V3-NL1*01
288,time-1,V3/OR16-13*01
